"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Thermohygrometer"
"TIMESTAMP","RECORD","TC","RH"
"TS","RN","Deg C","%"
"","","Smp","Smp"
"2021-12-03 09:20:55",256407,22.59,35.26
"2021-12-03 09:20:56",256408,22.61,35.2
"2021-12-03 09:20:57",256409,22.61,35.2
"2021-12-03 09:20:58",256410,22.59,35.14
"2021-12-03 09:20:59",256411,22.63,35.09
"2021-12-03 09:21:00",256412,22.67,35.03
"2021-12-03 09:21:01",256413,22.64,34.98
"2021-12-03 09:21:02",256414,22.72,34.94
"2021-12-03 09:21:03",256415,22.75,34.88
"2021-12-03 09:21:04",256416,22.77,34.83
"2021-12-03 09:21:05",256417,22.75,34.8
"2021-12-03 09:21:06",256418,22.78,34.78
"2021-12-03 09:21:07",256419,22.78,34.74
"2021-12-03 09:21:08",256420,22.8,34.68
"2021-12-03 09:21:09",256421,22.82,34.66
"2021-12-03 09:21:10",256422,22.86,34.56
"2021-12-03 09:21:11",256423,22.88,34.56
"2021-12-03 09:21:12",256424,22.9,34.55
"2021-12-03 09:21:13",256425,22.92,34.52
"2021-12-03 09:21:14",256426,22.9,34.49
"2021-12-03 09:21:15",256427,22.96,34.5
"2021-12-03 09:21:16",256428,22.95,34.48
"2021-12-03 09:21:17",256429,22.97,34.48
"2021-12-03 09:21:18",256430,22.97,34.48
"2021-12-03 09:21:19",256431,23.02,34.49
"2021-12-03 09:21:20",256432,23.06,34.45
"2021-12-03 09:21:21",256433,23.08,34.43
"2021-12-03 09:21:22",256434,23.07,34.43
"2021-12-03 09:21:23",256435,23.05,34.4
"2021-12-03 09:21:24",256436,23.09,34.4
"2021-12-03 09:21:25",256437,23.07,34.36
"2021-12-03 09:21:26",256438,23.08,34.33
"2021-12-03 09:21:27",256439,23.09,34.24
"2021-12-03 09:21:28",256440,23.12,34.22
"2021-12-03 09:21:29",256441,23.13,34.2
"2021-12-03 09:21:30",256442,23.14,34.2
"2021-12-03 09:21:31",256443,23.16,34.22
"2021-12-03 09:21:32",256444,23.17,34.19
"2021-12-03 09:21:33",256445,23.18,34.22
"2021-12-03 09:21:34",256446,23.14,34.21
"2021-12-03 09:21:35",256447,23.17,34.15
"2021-12-03 09:21:36",256448,23.15,34.16
"2021-12-03 09:21:37",256449,23.19,34.17
"2021-12-03 09:21:38",256450,23.2,34.18
"2021-12-03 09:21:39",256451,23.19,34.18
"2021-12-03 09:21:40",256452,23.2,34.15
"2021-12-03 09:21:41",256453,23.22,34.15
"2021-12-03 09:21:42",256454,23.19,34.11
"2021-12-03 09:21:43",256455,23.2,34.06
"2021-12-03 09:21:44",256456,23.21,34.06
"2021-12-03 09:21:45",256457,23.18,34
"2021-12-03 09:21:46",256458,23.24,34.05
"2021-12-03 09:21:47",256459,23.24,34.03
"2021-12-03 09:21:48",256460,23.24,34.03
"2021-12-03 09:21:49",256461,23.21,34.08
"2021-12-03 09:21:50",256462,23.27,34.08
"2021-12-03 09:21:51",256463,23.22,34.09
"2021-12-03 09:21:52",256464,23.25,34.09
"2021-12-03 09:21:53",256465,23.27,34.12
"2021-12-03 09:21:54",256466,23.26,34.09
"2021-12-03 09:21:55",256467,23.29,34.14
"2021-12-03 09:21:56",256468,23.32,34.12
"2021-12-03 09:21:57",256469,23.29,34.09
"2021-12-03 09:21:58",256470,23.25,34.05
"2021-12-03 09:21:59",256471,23.32,34.09
"2021-12-03 09:22:00",256472,23.27,34.07
"2021-12-03 09:22:01",256473,23.29,34.08
"2021-12-03 09:22:02",256474,23.29,34.09
"2021-12-03 09:22:03",256475,23.3,34.1
"2021-12-03 09:22:04",256476,23.35,34.13
"2021-12-03 09:22:05",256477,23.35,34.16
"2021-12-03 09:22:06",256478,23.34,34.1
"2021-12-03 09:22:07",256479,23.3,34.07
"2021-12-03 09:22:08",256480,23.33,34.07
"2021-12-03 09:22:09",256481,23.33,34.03
"2021-12-03 09:22:10",256482,23.33,34
"2021-12-03 09:22:11",256483,23.33,34.03
"2021-12-03 09:22:12",256484,23.36,34.01
"2021-12-03 09:22:13",256485,23.4,34.02
"2021-12-03 09:22:14",256486,23.38,34.02
"2021-12-03 09:22:15",256487,23.4,33.98
"2021-12-03 09:22:16",256488,23.36,33.95
"2021-12-03 09:22:17",256489,23.41,33.94
"2021-12-03 09:22:18",256490,23.37,33.92
"2021-12-03 09:22:19",256491,23.39,33.92
"2021-12-03 09:22:20",256492,23.39,33.89
"2021-12-03 09:22:21",256493,23.42,33.87
"2021-12-03 09:22:22",256494,23.45,33.84
"2021-12-03 09:22:23",256495,23.44,33.81
"2021-12-03 09:22:24",256496,23.44,33.78
"2021-12-03 09:22:25",256497,23.4,33.75
"2021-12-03 09:22:26",256498,23.45,33.76
"2021-12-03 09:22:27",256499,23.41,33.74
"2021-12-03 09:22:28",256500,23.41,33.73
"2021-12-03 09:22:29",256501,23.43,33.71
"2021-12-03 09:22:30",256502,23.46,33.71
"2021-12-03 09:22:31",256503,23.48,33.72
"2021-12-03 09:22:32",256504,23.46,33.69
"2021-12-03 09:22:33",256505,23.46,33.65
"2021-12-03 09:22:34",256506,23.42,33.62
"2021-12-03 09:22:35",256507,23.49,33.66
"2021-12-03 09:22:36",256508,23.44,33.65
"2021-12-03 09:22:37",256509,23.48,33.68
"2021-12-03 09:22:38",256510,23.47,33.7
"2021-12-03 09:22:39",256511,23.52,33.69
"2021-12-03 09:22:40",256512,23.52,33.69
"2021-12-03 09:22:41",256513,23.52,33.69
"2021-12-03 09:22:42",256514,23.52,33.66
"2021-12-03 09:22:43",256515,23.47,33.63
"2021-12-03 09:22:44",256516,23.52,33.69
"2021-12-03 09:22:45",256517,23.52,33.65
"2021-12-03 09:22:46",256518,23.53,33.62
"2021-12-03 09:22:47",256519,23.53,33.59
"2021-12-03 09:22:48",256520,23.55,33.58
"2021-12-03 09:22:49",256521,23.57,33.56
"2021-12-03 09:22:50",256522,23.54,33.53
"2021-12-03 09:22:51",256523,23.54,33.47
"2021-12-03 09:22:52",256524,23.49,33.45
"2021-12-03 09:22:53",256525,23.56,33.45
"2021-12-03 09:22:54",256526,23.52,33.4
"2021-12-03 09:22:55",256527,23.53,33.37
"2021-12-03 09:22:56",256528,23.55,33.38
"2021-12-03 09:22:57",256529,23.57,33.38
"2021-12-03 09:22:58",256530,23.58,33.37
"2021-12-03 09:22:59",256531,23.59,33.37
"2021-12-03 09:23:00",256532,23.59,33.35
"2021-12-03 09:23:01",256533,23.51,33.31
"2021-12-03 09:23:02",256534,23.59,33.35
"2021-12-03 09:23:03",256535,23.56,33.33
"2021-12-03 09:23:04",256536,23.59,33.33
"2021-12-03 09:23:05",256537,23.59,33.33
"2021-12-03 09:23:06",256538,23.59,33.32
"2021-12-03 09:23:07",256539,23.61,33.29
"2021-12-03 09:23:08",256540,23.61,33.3
"2021-12-03 09:23:09",256541,23.58,33.3
"2021-12-03 09:23:10",256542,23.55,33.26
"2021-12-03 09:23:11",256543,23.62,33.3
"2021-12-03 09:23:12",256544,23.59,33.25
"2021-12-03 09:23:13",256545,23.59,33.22
"2021-12-03 09:23:14",256546,23.59,33.23
"2021-12-03 09:23:15",256547,23.61,33.21
"2021-12-03 09:23:16",256548,23.62,33.3
"2021-12-03 09:23:17",256549,23.64,33.3
"2021-12-03 09:23:18",256550,23.62,33.24
"2021-12-03 09:23:19",256551,23.58,33.2
"2021-12-03 09:23:20",256552,23.64,33.22
"2021-12-03 09:23:21",256553,23.59,33.22
"2021-12-03 09:23:22",256554,23.6,33.2
"2021-12-03 09:23:23",256555,23.62,33.18
"2021-12-03 09:23:24",256556,23.65,33.19
"2021-12-03 09:23:25",256557,23.64,33.21
"2021-12-03 09:23:26",256558,23.65,33.24
"2021-12-03 09:23:27",256559,23.62,33.23
"2021-12-03 09:23:28",256560,23.58,33.2
"2021-12-03 09:23:29",256561,23.65,33.24
"2021-12-03 09:23:30",256562,23.63,33.22
"2021-12-03 09:23:31",256563,23.65,33.17
"2021-12-03 09:23:32",256564,23.64,33.17
"2021-12-03 09:23:33",256565,23.68,33.18
"2021-12-03 09:23:34",256566,23.68,33.17
"2021-12-03 09:23:35",256567,23.66,33.18
"2021-12-03 09:23:36",256568,23.66,33.17
"2021-12-03 09:23:37",256569,23.67,33.13
"2021-12-03 09:23:38",256570,23.67,33.23
"2021-12-03 09:23:39",256571,23.64,33.21
"2021-12-03 09:23:40",256572,23.64,33.24
"2021-12-03 09:23:41",256573,23.67,33.24
"2021-12-03 09:23:42",256574,23.69,33.22
"2021-12-03 09:23:43",256575,23.69,33.22
"2021-12-03 09:23:44",256576,23.7,33.22
"2021-12-03 09:23:45",256577,23.7,33.22
"2021-12-03 09:23:46",256578,23.7,33.17
"2021-12-03 09:23:47",256579,23.73,33.22
"2021-12-03 09:23:48",256580,23.72,33.2
"2021-12-03 09:23:49",256581,23.71,33.2
"2021-12-03 09:23:50",256582,23.73,33.15
"2021-12-03 09:23:51",256583,23.76,33.11
"2021-12-03 09:23:52",256584,23.77,33.06
"2021-12-03 09:23:53",256585,23.77,33.05
"2021-12-03 09:23:54",256586,23.77,33.08
"2021-12-03 09:23:55",256587,23.78,33.05
"2021-12-03 09:23:56",256588,23.81,33.06
"2021-12-03 09:23:57",256589,23.76,33.01
