"TOA5","6550","CR6","6550","CR6.Std.06.03","CPU:Lab_atmos_phys.CR6","45515","Sonic_Anemometer"
"TIMESTAMP","RECORD","u","v","w","t"
"TS","RN","m/s","m/s","m/s","C"
"","","Smp","Smp","Smp","Smp"
"2021-12-03 09:15:17.6",5125857,0.057,0.005,0.053,21.59
"2021-12-03 09:15:17.65",5125858,0.057,0.004,0.054,21.63
"2021-12-03 09:15:17.7",5125859,0.055,0.005,0.052,21.59
"2021-12-03 09:15:17.75",5125860,0.057,0.006,0.051,21.6
"2021-12-03 09:15:17.8",5125861,0.055,0.006,0.052,21.61
"2021-12-03 09:15:17.85",5125862,0.056,0.007,0.05,21.6
"2021-12-03 09:15:17.9",5125863,0.057,0.008,0.05,21.62
"2021-12-03 09:15:17.95",5125864,0.055,0.005,0.049,21.59
"2021-12-03 09:15:18",5125865,0.053,0.004,0.049,21.63
"2021-12-03 09:15:18.05",5125866,0.054,0.006,0.049,21.63
"2021-12-03 09:15:18.1",5125867,0.055,0.006,0.048,21.62
"2021-12-03 09:15:18.15",5125868,0.055,0.007,0.047,21.61
"2021-12-03 09:15:18.2",5125869,0.054,0.007,0.047,21.61
"2021-12-03 09:15:18.25",5125870,0.055,0.007,0.048,21.58
"2021-12-03 09:15:18.3",5125871,0.056,0.007,0.047,21.63
"2021-12-03 09:15:18.35",5125872,0.055,0.006,0.045,21.58
"2021-12-03 09:15:18.4",5125873,0.055,0.006,0.045,21.63
"2021-12-03 09:15:18.45",5125874,0.053,0.004,0.046,21.59
"2021-12-03 09:15:18.5",5125875,0.055,0.005,0.046,21.63
