Fine validità (UTC)	wndDir	wndSpeed										
22/12/2015 07:00:00	323	0.6										
22/12/2015 08:00:00	225	2										
22/12/2015 09:00:00	261	1.5										
22/12/2015 10:00:00	252	2.3										
22/12/2015 11:00:00	271	1.3										
22/12/2015 12:00:00	288	1.2										
22/12/2015 13:00:00	282	0.8										
22/12/2015 14:00:00	227	1										
22/12/2015 15:00:00	259	0.7										
22/12/2015 16:00:00	222	0.7										
22/12/2015 17:00:00	196	1.7										
22/12/2015 18:00:00	203	1										
22/12/2015 19:00:00	207	0.7										
22/12/2015 20:00:00	213	1.4										
22/12/2015 21:00:00	223	0.6										
22/12/2015 22:00:00	231	0.7										
22/12/2015 23:00:00	221	0.4										
23/12/2015 00:00:00	229	0.8										
23/12/2015 01:00:00	67	0.4										
23/12/2015 02:00:00	42	1.1										
23/12/2015 03:00:00	70	1.1										
23/12/2015 04:00:00	78	1.5										
23/12/2015 05:00:00	62	1.4										
23/12/2015 06:00:00	28	0.7										
23/12/2015 07:00:00	320	0.4										
23/12/2015 08:00:00	246	0.6										
23/12/2015 09:00:00	354	1										
23/12/2015 10:00:00	15	0.6										
23/12/2015 11:00:00	354	1.6										
23/12/2015 12:00:00	351	1.5										
23/12/2015 13:00:00	330	0.9										
23/12/2015 14:00:00	347	1.1										
23/12/2015 15:00:00	323	0.8										
23/12/2015 16:00:00	306	0.8										
23/12/2015 17:00:00	337	0.7										
23/12/2015 18:00:00	254	0.7										
23/12/2015 19:00:00	62	1.2										
23/12/2015 20:00:00	85	2										
23/12/2015 21:00:00	118	1.7										
23/12/2015 22:00:00	52	2.1										
23/12/2015 23:00:00	38	1.4										
24/12/2015 00:00:00	27	1.6										
24/12/2015 01:00:00	14	1.4										
24/12/2015 02:00:00	46	0.9										
24/12/2015 03:00:00	354	0.9										
24/12/2015 04:00:00	47	0.8										
24/12/2015 05:00:00	358	0.8										
24/12/2015 06:00:00	251	0.5										
24/12/2015 07:00:00	344	0.7										
24/12/2015 08:00:00	290	0.6										
24/12/2015 09:00:00	278	0.5										
24/12/2015 10:00:00	323	0.8										
24/12/2015 11:00:00	339	1.3										
24/12/2015 12:00:00	311	1.3										
24/12/2015 13:00:00	316	0.8										
24/12/2015 14:00:00	354	1.2										
24/12/2015 15:00:00	342	1.1										
24/12/2015 16:00:00	343	1.3										
24/12/2015 17:00:00	272	0.2										
24/12/2015 18:00:00	279	0.5										
24/12/2015 19:00:00	280	0.5										
24/12/2015 20:00:00	256	1.5										
24/12/2015 21:00:00	259	2.8										
24/12/2015 22:00:00	282	1.2										
24/12/2015 23:00:00	256	2.7										
25/12/2015 00:00:00	259	2.1										
25/12/2015 01:00:00	281	1.5										
25/12/2015 02:00:00	251	1.4										
25/12/2015 03:00:00	271	1										
25/12/2015 04:00:00	302	0.5										
25/12/2015 05:00:00	248	1.1										
25/12/2015 06:00:00	225	1.6										
25/12/2015 07:00:00	219	1.8										
25/12/2015 08:00:00	225	1.5										
25/12/2015 09:00:00	318	0.8										
25/12/2015 10:00:00	347	1.1										
25/12/2015 11:00:00	312	0.8										
25/12/2015 12:00:00	321	0.8										
25/12/2015 13:00:00	343	1.3										
25/12/2015 14:00:00	348	1.2										
25/12/2015 15:00:00	348	1.1										
25/12/2015 16:00:00	353	1.2										
25/12/2015 17:00:00	260	0.8										
25/12/2015 18:00:00	350	0.9										
25/12/2015 19:00:00	346	0.9										
25/12/2015 20:00:00	248	1.4										
25/12/2015 21:00:00	247	1										
25/12/2015 22:00:00	201	1.4										
25/12/2015 23:00:00	214	1.4										
26/12/2015 00:00:00	312	1										
26/12/2015 01:00:00	245	0.9										
26/12/2015 02:00:00	307	1.4										
26/12/2015 03:00:00	312	1.1										
26/12/2015 04:00:00	247	1.9										
26/12/2015 05:00:00	250	2										
26/12/2015 06:00:00	229	1.6										
26/12/2015 07:00:00	225	1.4										
26/12/2015 08:00:00	241	1.8										
26/12/2015 09:00:00	255	1.8										
26/12/2015 10:00:00	249	2.9										
26/12/2015 11:00:00	249	2.4										
26/12/2015 12:00:00	295	1.6										
26/12/2015 13:00:00	291	0.7										
26/12/2015 14:00:00	259	1.7										
26/12/2015 15:00:00	265	2.2										
26/12/2015 16:00:00	264	1.5										
26/12/2015 17:00:00	281	1.1										
26/12/2015 18:00:00	256	0.8										
26/12/2015 19:00:00	238	1										
26/12/2015 20:00:00	227	1.6										
26/12/2015 21:00:00	235	1.7										
26/12/2015 22:00:00	260	1.7										
26/12/2015 23:00:00	238	2.3										
27/12/2015 00:00:00	264	1.7										
27/12/2015 01:00:00	325	0.5										
27/12/2015 02:00:00	152	0.3										
27/12/2015 03:00:00	326	0.4										
27/12/2015 04:00:00	360	0.4										
27/12/2015 05:00:00	3	0.3										
27/12/2015 06:00:00	353	0.6										
27/12/2015 07:00:00	220	0.2										
27/12/2015 08:00:00	301	0.4										
27/12/2015 09:00:00	355	1										
27/12/2015 10:00:00	349	1.4										
27/12/2015 11:00:00	346	1										
27/12/2015 12:00:00	329	1.3										
27/12/2015 13:00:00	333	0.9										
27/12/2015 14:00:00	353	1.3										
27/12/2015 15:00:00	315	0.8										
27/12/2015 16:00:00	339	1										
27/12/2015 17:00:00	334	0.6										
27/12/2015 18:00:00	329	0.7										
27/12/2015 19:00:00	358	1.2										
27/12/2015 20:00:00	325	0.9										
27/12/2015 21:00:00	289	0.6										
27/12/2015 22:00:00	210	2										
27/12/2015 23:00:00	339	0.8										
28/12/2015 00:00:00	257	0.7										
28/12/2015 01:00:00	293	0.8										
28/12/2015 02:00:00	344	0.8										
28/12/2015 03:00:00	262	1.2										
28/12/2015 04:00:00	239	1.7										
28/12/2015 05:00:00	266	1.6										
28/12/2015 06:00:00	263	1.2										
28/12/2015 07:00:00	269	1.2										
28/12/2015 08:00:00	271	2										
28/12/2015 09:00:00	316	0.8										
28/12/2015 10:00:00	315	0.8										
28/12/2015 11:00:00	340	0.7										
28/12/2015 12:00:00	355	1.9										
28/12/2015 13:00:00	323	1.6										
28/12/2015 14:00:00	357	1.1										
28/12/2015 15:00:00	272	1										
28/12/2015 16:00:00	255	0.4										
28/12/2015 17:00:00	346	1.1										
28/12/2015 18:00:00	315	0.5										
28/12/2015 19:00:00	298	0.8										
28/12/2015 20:00:00	240	1										
28/12/2015 21:00:00	278	1.1										
28/12/2015 22:00:00	334	0.7										
28/12/2015 23:00:00	358	0.7										
29/12/2015 00:00:00	332	0.5										
29/12/2015 01:00:00	258	1.7										
29/12/2015 02:00:00	223	0.9										
29/12/2015 03:00:00	239	0.5										
29/12/2015 04:00:00	316	0.4										
29/12/2015 05:00:00	283	0.2										
29/12/2015 06:00:00	2	0.7										
29/12/2015 07:00:00	277	0.4										
29/12/2015 08:00:00	259	2.9										
29/12/2015 09:00:00	273	0.9										
29/12/2015 10:00:00	219	0.4										
29/12/2015 11:00:00	358	0.8										
29/12/2015 12:00:00	254	0.6										
29/12/2015 13:00:00	290	1.2										
29/12/2015 14:00:00	344	2.1										
29/12/2015 15:00:00	350	1.4										
29/12/2015 16:00:00	307	0.3										
29/12/2015 17:00:00	236	1.1										
29/12/2015 18:00:00	318	0.4										
29/12/2015 19:00:00	255	0.8										
29/12/2015 20:00:00	220	2.4										
29/12/2015 21:00:00	212	3.4										
29/12/2015 22:00:00	356	0.7										
29/12/2015 23:00:00	354	0.8										
30/12/2015 00:00:00	44	1.5										
30/12/2015 01:00:00	81	0.3										
30/12/2015 02:00:00	333	0.6										
30/12/2015 03:00:00	241	2.5										
